created_at;_id;Origem;Destino;Mês;Dia da Semana;shipping.type;coupon.code;coupon.title;status_object.reason;cancellation_reason_translate;pharmacy_id;coupon.discount;total
19/01/2024 05:35;MK240119EHWN5T-1;ES-SERRA;es-serra;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11500;;268,42
19/01/2024 00:50;01HMFXFJER26MJ-1;SP-COTIA;sp-cotia;1;6;DELIVERY;;;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;12039;;60,14
19/01/2024 00:33;MK240119YGHUIS-6;SP-SAO PAULO;sp-sao paulo;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14503;0;135,37
19/01/2024 00:32;MK240119YX45CV-1;SP-SAO PAULO;rj-rio de janeiro;1;6;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;11107;0;252,5
18/01/2024 23:58;MK240118P1MUT0-1;RS-PORTO ALEGRE;rs-porto alegre;1;5;DELIVERY;Livelo;LIVELO SEM VALOR 2024;CANCELLATION_GAVE_UP;Desistência do Cliente;2316;0;51,93
18/01/2024 23:15;01HMFR0CHJVBS3-1;DF-BRASILIA;df-brasilia;1;5;PICKUP;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13595;0;110,66
18/01/2024 22:49;MK2401183H3MZ8-1;MG-BELO HORIZONTE;mg-belo horizonte;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;4331;0;26,99
18/01/2024 22:48;01HMFPFTVTNNVV-1;RS-PORTO ALEGRE;rs-porto alegre;1;5;DELIVERY;PARABENS;ANIVERSÁRIO FAPP - PARABENS 23%;CANCELLATION_OTHER;Outro;6531;20,45;68,45
18/01/2024 22:44;MK240118S9YTG9-2;SP-NOVA ODESSA;go-goiania;1;5;DELIVERY;;;CANCELLATION_OTHER;Outro;1018;;56,72
18/01/2024 22:35;01HMFNQT21MCCA-1;PR-SAO JOSE DOS PINHAIS;pr-sao jose dos pinhais;1;5;PICKUP;PARABENS;ANIVERSÁRIO FAPP - PARABENS 23%;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;9756;20,2;67,64
18/01/2024 22:13;01HMFMG23TV71H-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;4655;0;127,77
18/01/2024 22:13;01HMFMG23TV71H-3;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;3126;0;69,08
18/01/2024 22:13;01HMFMG23TV71H-4;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OTHER;Outro;3301;0;23,98
18/01/2024 22:13;01HMFMG23TV71H-5;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;14241;0;12
18/01/2024 22:13;01HMFMF5HNV4ZG-1;SP-SAO CARLOS;sp-sao carlos;1;5;DELIVERY;PARABENS;ANIVERSÁRIO FAPP - PARABENS 23%;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;2217;19,11;63,97
18/01/2024 22:04;MK2401183S2Z4K-1;DF-BRASILIA;df-brasilia;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13599;0;71,45
18/01/2024 21:45;MK240118DP2H13-1;SP-NOVA ODESSA;mt-primavera do leste;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;1018;0;352,31
18/01/2024 21:36;01HMFJCEP370WC-1;RJ-RIO DE JANEIRO;rj-rio de janeiro;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;3126;0;46,85
18/01/2024 21:35;01HMFJ946E7VXX-1;PE-RECIFE;pe-recife;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;13512;0;36,9
18/01/2024 21:28;MK240118UF84US-1;SP-SAO PAULO;sp-sao paulo;1;5;DELIVERY;LIVELO;LIVELO SEM VALOR 2024;CANCELLATION_OUT_OF_STOCK;Produto sem estoque;1136;0;38,89
